date,title,url,domain,category,query,date_parsed
,Palm oil is unavoidable . Can it be sustainable ? ,https://www.nationalgeographic.com.au/nature/palm-oil-is-unavoidable-can-it-be-sustainable.aspx,nationalgeographic.com.au,export_policy,garlic minimum export price India,
,Why the BJP will bear the brunt of the farmer distress in Rajasthan,https://caravanmagazine.in/agriculture/bjp-bear-brunt-farmers-distress-rajasthan,caravanmagazine.in,export_policy,garlic minimum export price India,
,Spotlight : Indian farmers await govt policies to yield rosy results - Xinhua,http://www.xinhuanet.com/english/2018-12/05/c_137652624.htm,xinhuanet.com,export_policy,garlic minimum export price India,
,Perry Anderson · After Nehru · LRB 2 August 2012,https://www.lrb.co.uk/v34/n15/perry-anderson/after-nehru,lrb.co.uk,export_policy,garlic minimum export price India,
,Bitter harvest - Frontline,https://www.frontline.in/cover-story/bitter-harvest/article9946260.ece,frontline.in,export_policy,garlic minimum export price India,
,"European Court of Human Rights Rules Insulting Islam Prophet  Not freedom of Expression , Islamic World News , New Age I",http://www.newageislam.com/islamic-world-news/new-age-islam-news-bureau/european-court-of-human-righ,newageislam.com,export_policy,garlic minimum export price India,
,This is the Opposition Leader response to the Budget,https://www.trinidadexpress.com/news/local/this-is-the-opposition-leader-s-response-to-the-budget/ar,trinidadexpress.com,export_policy,garlic minimum export price India,
,"In - Depth | When onion made India cry : How onion price rise affects politics , business and the common man",https://www.moneycontrol.com/news/india/in-depth-when-onion-made-india-cry-how-onion-price-rise-affe,moneycontrol.com,export_policy,garlic minimum export price India,
,"Onion prices will stay high for some time ; restrain or abstain like Sheikh Hasina , Nirmala Sitharaman",https://www.firstpost.com/business/onion-prices-will-stay-high-for-some-time-restrain-or-abstain-lik,firstpost.com,export_policy,garlic minimum export price India,
,Dont drive Indian farmers to suicide through RCEP,https://www.downtoearth.org.in/blog/economy/don-t-drive-indian-farmers-to-suicide-through-rcep-67565,downtoearth.org.in,export_policy,garlic minimum export price India,
,Onion prices back to Tk120 a kilo,http://www.dhakatribune.com/business/2019/10/27/onion-prices-back-to-tk120-a-kilo,dhakatribune.com,export_policy,garlic minimum export price India,
