year,china_qty_kg,china_fob_usd,china_qty_mt,china_fob_per_kg
2017,1711549395,2188203666,1711549.395,1.2784928512098244
2018,1881736112,1409820124,1881736.112,0.7492124506775688
2019,1761126723,1991142267,1761126.723,1.1306070375266233
2020,2254426712,2063350939,2254426.712,0.9152441851478559
2021,1907786544,2032520108,1907786.544,1.0653812998064631
2022,2035905147,1796196575,2035905.147,0.8822594597036009
2023,2032197543,2367488857,2032197.543,1.1649895282842588
2024,2353891745,3151160883,2353891.745,1.3387025506561687
