refYear,reporterCode,reporterDesc,partnerCode,partnerDesc,flowCode,cmdCode,cmdDesc,qty,qtyUnitAbbr,cifvalue,fobvalue,primaryValue,reporter_name,flow_label
2017,156,,0,,X,070320,,5439100,,,5713352,5713352,China,exports_to_world
2017,156,,0,,X,070320,,2826270,,,2815646,2815646,China,exports_to_world
2017,156,,0,,X,070320,,3563580,,,5953889,5953889,China,exports_to_world
2017,156,,0,,X,070320,,6157000,,,6135236,6135236,China,exports_to_world
2017,156,,0,,X,070320,,56600,,,56480,56480,China,exports_to_world
2017,156,,0,,X,070320,,10147500,,,11089636,11089636,China,exports_to_world
2017,156,,0,,X,070320,,1315060,,,270861,270861,China,exports_to_world
2017,156,,0,,X,070320,,1742000,,,1983800,1983800,China,exports_to_world
2017,156,,0,,X,070320,,255680,,,330601,330601,China,exports_to_world
2017,156,,0,,X,070320,,2815400,,,3436798,3436798,China,exports_to_world
2017,156,,0,,X,070320,,1223000,,,1305436,1305436,China,exports_to_world
2017,156,,0,,X,070320,,1165500,,,1520342,1520342,China,exports_to_world
2017,156,,0,,X,070320,,720068,,,852508,852508,China,exports_to_world
2017,156,,0,,X,070320,,1022800,,,1224543,1224543,China,exports_to_world
2017,156,,0,,X,070320,,670020,,,632832,632832,China,exports_to_world
2017,156,,0,,X,070320,,5186040,,,5974196,5974196,China,exports_to_world
2017,156,,0,,X,070320,,171790,,,309222,309222,China,exports_to_world
2017,156,,0,,X,070320,,646000,,,837546,837546,China,exports_to_world
2017,156,,0,,X,070320,,1611000,,,2130062,2130062,China,exports_to_world
2017,156,,0,,X,070320,,320000,,,356176,356176,China,exports_to_world
2017,156,,0,,X,070320,,1513160,,,1554223,1554223,China,exports_to_world
2017,156,,0,,X,070320,,3503390,,,5102040,5102040,China,exports_to_world
2017,156,,0,,X,070320,,1813670,,,2462160,2462160,China,exports_to_world
2017,156,,0,,X,070320,,51440,,,39755,39755,China,exports_to_world
